Word,Most_Similar_Word
снятие,[]
кривая,"[('каяк', 0.8623961210250854), ('слалом', 0.8514629006385803), ('сани', 0.8339188694953918), ('пистолет', 0.8306946158409119), ('липа', 0.8272495269775391), ('навесный', 0.825952410697937), ('стритбол', 0.8223845362663269), ('воздушно', 0.8206301927566528), ('перила', 0.8200453519821167), ('пневматический', 0.8185314536094666)]"
мощность,"[('плотность', 0.8323124051094055), ('коэффициент', 0.8319348692893982), ('величина', 0.8226699829101562), ('толщина', 0.816784679889679), ('батарея', 0.8126844763755798), ('давление', 0.8115605115890503), ('удельный', 0.8103876709938049), ('поверхность', 0.8103817701339722), ('ширина', 0.8100460767745972), ('температура', 0.8047516942024231)]"
кохлеарна,"[('имплантация', 0.8896512389183044), ('косоглазие', 0.8268207311630249), ('паралич', 0.8105258345603943), ('кондиционер', 0.8048993945121765), ('доврачебный', 0.8032734990119934), ('простудный', 0.802921712398529)]"
имплантация,"[('кохлеарна', 0.8896511793136597), ('косоглазие', 0.8459215760231018), ('раса', 0.8361542820930481), ('церебральный', 0.8335573077201843), ('простудный', 0.8277649283409119), ('сустав', 0.8201521635055542), ('таблетка', 0.816648006439209), ('опухолевый', 0.8143463730812073), ('позвоночник', 0.8140793442726135), ('грудной', 0.8124416470527649)]"
последующий,[]
спецкурс,[]
сленг,"[('арго', 0.8041276931762695)]"
новшество,[]
ревизия,[]
экранизация,"[('комедия', 0.851220965385437), ('гоголевский', 0.8333711624145508), ('мотив', 0.8043361902236938)]"
неотделимый,[]
создатель,[]
кукольный,[]
ожидание,[]
формировать,[]
горизонт,[]
станционный,"[('смола', 0.9023692607879639), ('минобрнауки', 0.8908529877662659), ('хармонь', 0.8891781568527222), ('ост', 0.8822389245033264), ('сани', 0.8809876441955566), ('приклеить', 0.8804807662963867), ('пенка', 0.8798856735229492), ('калорийный', 0.8783568143844604), ('однокомнатный', 0.8781316876411438), ('еловый', 0.8759111762046814)]"
смотритель,[]
большинство,[]
сблизить,[]
современник,[]
режиссёрский,[]
стилизовать,"[('мим', 0.8201354742050171), ('пышный', 0.8177466988563538), ('юбка', 0.8122269511222839), ('завораживать', 0.8101016283035278), ('причёска', 0.8096733689308167), ('белые', 0.8055518865585327), ('светящийся', 0.8034763932228088), ('ожить', 0.8030376434326172), ('шотландский', 0.8023836612701416)]"
хип,"[('хоп', 0.9819799065589905), ('джаз', 0.9174628853797913), ('соло', 0.873153805732727), ('эстрадный', 0.8726460337638855), ('ритмичный', 0.8712239861488342), ('битбокс', 0.8635483384132385), ('вокал', 0.8593997955322266), ('латин', 0.8561517596244812), ('трио', 0.8526825904846191), ('акробатика', 0.8505746722221375)]"
хоп,"[('хип', 0.98198002576828), ('джаз', 0.9209427833557129), ('эстрадный', 0.8750331997871399), ('данс', 0.8749022483825684), ('трио', 0.8742650151252747), ('ритмичный', 0.8697441220283508), ('вокал', 0.8674300312995911), ('акробатический', 0.861687421798706), ('соло', 0.8584122657775879), ('бальный', 0.8580778241157532)]"
контемпорарь,"[('битбокс', 0.8852402567863464), ('стилизация', 0.8744370341300964), ('вог', 0.8652446866035461), ('соло', 0.8524320125579834), ('экстравагантный', 0.8502285480499268), ('хип', 0.8491345643997192), ('аккордеон', 0.845717191696167), ('ансамблевый', 0.8422099351882935), ('электрогитара', 0.8387921452522278), ('акробатика', 0.8356003761291504)]"
импровизация,"[('юмористический', 0.8035213947296143)]"
перформанс,"[('стилизация', 0.825501024723053), ('мистерия', 0.823966920375824), ('световой', 0.8199335336685181), ('ритмичный', 0.8161453604698181), ('лиричный', 0.8101338148117065), ('аккордеон', 0.8039186596870422), ('боевик', 0.8032925128936768), ('эффектно', 0.8004325032234192)]"
эстрадный,"[('вокал', 0.8930177688598633), ('хоп', 0.8750330209732056), ('сольный', 0.872864842414856), ('хип', 0.8726459741592407), ('дуэт', 0.8713524341583252), ('соло', 0.8598310351371765), ('джаз', 0.842373788356781), ('трио', 0.8392688035964966), ('хоровой', 0.8260850310325623), ('джазовый', 0.8131587505340576)]"
пёстрый,"[('колоритный', 0.8542926907539368), ('лебедь', 0.8498192429542542), ('неоновый', 0.8455117344856262), ('мясо', 0.8429670929908752), ('развязка', 0.8418474793434143), ('осьминог', 0.8378828167915344), ('фламинго', 0.836182713508606), ('светящийся', 0.8361759781837463), ('гамма', 0.8321771025657654), ('узор', 0.8316974639892578)]"
постановщик,"[('режиссёр', 0.8343297839164734), ('сценарист', 0.8068534731864929)]"
греческий,[]
мостик,[]
февральский,"[('мартовский', 0.8500662446022034), ('июньский', 0.8347887396812439), ('декабрьский', 0.8210799098014832)]"
стилизация,"[('веер', 0.8928351998329163), ('ритмичный', 0.8777334690093994), ('электрогитара', 0.8755034804344177), ('контемпорарь', 0.8744370937347412), ('аккордеон', 0.8724694848060608), ('вог', 0.8697023987770081), ('битбокс', 0.8681645393371582), ('удмуртский', 0.8677029609680176), ('клавиша', 0.8674947619438171), ('вуги', 0.8673198819160461)]"
индийский,[]
ожить,"[('оживать', 0.8171641826629639), ('загадочный', 0.8128277063369751), ('стилизовать', 0.8030376434326172)]"
фреска,"[('мавзолей', 0.8525204062461853), ('богородица', 0.8300970196723938), ('юрта', 0.8229799270629883), ('предание', 0.8146966695785522), ('улочка', 0.8142119646072388), ('классицизм', 0.8102161288261414), ('обрыв', 0.8066329956054688), ('кочевник', 0.8047930598258972), ('убранство', 0.8045529723167419), ('рожь', 0.8032151460647583)]"
финский,[]
берёзовый,"[('вышитый', 0.9430344104766846), ('каменистый', 0.9406782984733582), ('плащ', 0.9397231936454773), ('светло', 0.9350470304489136), ('останец', 0.9293200969696045), ('типо', 0.9282662868499756), ('плезиозавр', 0.9268385767936707), ('кукушка', 0.9261447787284851), ('лиза', 0.9253413677215576), ('мелиоративный', 0.9245920181274414)]"
веник,"[('брюки', 0.9144899845123291), ('хармонь', 0.9125427007675171), ('хай', 0.9099088311195374), ('антилопа', 0.9095006585121155), ('сыр', 0.9058140516281128), ('кчс', 0.905743420124054), ('фуражка', 0.9045539498329163), ('смола', 0.9039306640625), ('минобрнауки', 0.9039204120635986), ('рубик', 0.9039157629013062)]"
олицетворение,[]
бесконечный,"[('плакать', 0.8221898674964905), ('сдерживать', 0.806397557258606), ('сочувствие', 0.8016326427459717), ('сбить', 0.8003708720207214)]"
посреди,"[('каменистый', 0.9230093955993652), ('парировать', 0.9134148359298706), ('плащ', 0.9124593734741211), ('слева', 0.9092641472816467), ('шторм', 0.9087416529655457), ('глухарь', 0.9077281951904297), ('присесть', 0.9051588773727417), ('берёзовый', 0.9030592441558838), ('мелиоративный', 0.9021595120429993), ('американка', 0.9021481871604919)]"
знакомый,[]
раздумье,"[('воспевать', 0.8438426852226257), ('притворство', 0.843410074710846), ('мириться', 0.8406614661216736), ('откровенно', 0.8402591943740845), ('ссориться', 0.8397156596183777), ('странник', 0.8376531004905701), ('глупый', 0.8367090225219727), ('ненавистный', 0.8351844549179077), ('ужасно', 0.8323162198066711), ('блондинка', 0.8282504081726074)]"
озорной,[]
стаканчик,"[('стакан', 0.8277662396430969), ('простыня', 0.8250025510787964), ('макароны', 0.8232028484344482), ('пачка', 0.8157379031181335), ('салфетка', 0.8152204155921936), ('обильный', 0.8071488738059998), ('кисломолочный', 0.8070988059043884), ('свист', 0.8049314618110657)]"
упасть,"[('спина', 0.8746823072433472), ('колено', 0.8631335496902466), ('палящий', 0.8631011843681335), ('вывих', 0.8594417572021484), ('плакать', 0.8525301814079285), ('жара', 0.8511778116226196), ('запах', 0.8501078486442566), ('недомогание', 0.8482031226158142), ('мотылёк', 0.8463709950447083), ('поначалу', 0.8451199531555176)]"
трио,"[('дуэт', 0.9066178798675537), ('хоп', 0.8742650151252747), ('аккомпанемент', 0.8700709342956543), ('сольный', 0.8669727444648743), ('хип', 0.8526827096939087), ('аккомпанировать', 0.8523463606834412), ('джаз', 0.8496373891830444), ('солистка', 0.848513126373291), ('зажигательный', 0.8418471813201904), ('эстрадный', 0.8392688035964966)]"
соло,"[('хип', 0.8731537461280823), ('вокал', 0.8647483587265015), ('эстрадный', 0.8598310947418213), ('джаз', 0.8586952686309814), ('хоп', 0.8584122061729431), ('контемпорарь', 0.8524320125579834), ('сольный', 0.8389966487884521), ('дуэт', 0.8287854194641113), ('рэп', 0.8247076869010925), ('трио', 0.8201976418495178)]"
пернатый,[]
танцор,"[('вокалист', 0.8163459300994873)]"
явиться,[]
плечо,[]
цыганский,"[('мохнатый', 0.806184709072113)]"
жизнеутверждающий,"[('кукушка', 0.881555438041687), ('фламинго', 0.8737831115722656), ('послышаться', 0.8677940368652344), ('винт', 0.8673731088638306), ('ласковый', 0.8669029474258423), ('перебор', 0.8599070906639099), ('свист', 0.8590474724769592), ('собачка', 0.8586183786392212), ('порою', 0.8574188351631165), ('кружить', 0.8562617897987366)]"
солистка,"[('солист', 0.8650948405265808), ('трио', 0.8485132455825806), ('дуэт', 0.838233470916748), ('джазовый', 0.8126527070999146), ('вокалистка', 0.8059293031692505), ('гитарист', 0.8050520420074463), ('вокалист', 0.8045060634613037), ('гитарный', 0.8037722706794739), ('сольный', 0.8036689758300781)]"
доля,"[('процент', 0.8127112984657288)]"
ненависть,"[('пафос', 0.8593527674674988), ('нежность', 0.8412948846817017), ('голубь', 0.8407764434814453), ('повелитель', 0.8386284708976746), ('жуткий', 0.8323044776916504), ('ускользать', 0.8321447968482971), ('навеки', 0.828962504863739), ('гнев', 0.8206096291542053), ('смирение', 0.8205888271331787), ('богородица', 0.8195091485977173)]"
трагический,[]
лётчица,"[('командующий', 0.8228569030761719), ('танкист', 0.8120055198669434)]"
равновесие,"[('тройной', 0.8870001435279846), ('фазовый', 0.8673780560493469), ('лимфатический', 0.8659135699272156), ('растворитель', 0.8643440008163452), ('четверной', 0.8634202480316162), ('высаливание', 0.8597842454910278), ('замедлять', 0.8583097457885742), ('калий', 0.8558708429336548), ('нитрат', 0.8514531850814819), ('кровеносный', 0.850039541721344)]"
трогательный,"[('грустный', 0.8262031674385071), ('смешной', 0.8192612528800964), ('романтический', 0.8153154850006104), ('проникновенный', 0.8004596829414368)]"
посвящение,[]
мама,[]
танцевать,"[('петь', 0.9109585285186768), ('станцевать', 0.8484050631523132), ('подпевать', 0.840070903301239), ('гитара', 0.8389188647270203), ('водить', 0.8222182989120483), ('аккомпанировать', 0.8057517409324646), ('хоровод', 0.8046497106552124)]"
фон,[]
зрительница,"[('фуражка', 0.8406811952590942), ('наверх', 0.8366437554359436), ('перебор', 0.8320611119270325), ('обидно', 0.8298137784004211), ('хай', 0.822539746761322), ('быстроразвивающийся', 0.8221656680107117), ('медуза', 0.8200059533119202), ('сфинкс', 0.8196380734443665), ('борщ', 0.8189958333969116), ('пуститься', 0.816286027431488)]"
роза,[]
заканчиваться,[]
спать,"[('загадывать', 0.818021297454834)]"
драматичный,"[('бродяга', 0.8512148857116699), ('толкнуть', 0.8493591547012329), ('запутать', 0.8395147919654846), ('денди', 0.8316965103149414), ('развязка', 0.8272363543510437), ('взлетать', 0.8254157304763794), ('ненавистный', 0.8246062994003296), ('вальсировать', 0.8206848502159119), ('ревность', 0.8201914429664612), ('хвостатый', 0.8200982809066772)]"
джаз,"[('хоп', 0.9209427237510681), ('хип', 0.917462944984436), ('ритмичный', 0.8656697273254395), ('танго', 0.8631879687309265), ('соло', 0.8586952686309814), ('трио', 0.8496374487876892), ('джазовый', 0.8470220565795898), ('модерн', 0.8469288349151611), ('вокал', 0.8432366251945496), ('эстрадный', 0.8423738479614258)]"
подруга,"[('возлюбить', 0.8575475811958313), ('дедушка', 0.8349822163581848), ('клоун', 0.8303020596504211), ('девчонка', 0.8242731094360352), ('бабушка', 0.8132821321487427), ('мальчик', 0.8113076686859131), ('однажды', 0.8068797588348389), ('плакать', 0.8012811541557312)]"
закадровый,[]
верный,[]
смысловой,[]
короткий,[]
рекламный,[]
секундный,"[('приклеить', 0.8331263065338135), ('сапог', 0.8272831439971924), ('морковь', 0.8256131410598755), ('вылететь', 0.824342668056488), ('простыня', 0.823725700378418), ('жареный', 0.823350727558136), ('присесть', 0.8222600221633911), ('антресоль', 0.818046510219574), ('опуститься', 0.8149049878120422), ('наложить', 0.8144444823265076)]"
крутой,[]
случайность,[]
совпасть,[]
торт,"[('сладкое', 0.8608276844024658), ('конфета', 0.8601763844490051), ('букет', 0.8314884901046753), ('сладкий', 0.8308995366096497), ('сладость', 0.8236483335494995), ('коробка', 0.8221246600151062), ('шарик', 0.8160197138786316), ('разноцветный', 0.8024387955665588), ('шар', 0.8017374873161316)]"
вишенка,[]
переделка,[]
крошка,"[('гусарский', 0.8859078288078308), ('пьяный', 0.8853809833526611), ('зинка', 0.8816863894462585), ('ласковый', 0.879342794418335), ('джем', 0.8793331384658813), ('фламенко', 0.8779177069664001), ('всенощный', 0.8762490749359131), ('кукушка', 0.8753735423088074), ('перебор', 0.8731564283370972), ('вампир', 0.8716679215431213)]"
покидать,[]
заряд,[]
искренне,[]
жест,"[('мимика', 0.8636466860771179)]"
гостья,[]
разгадывать,"[('ребус', 0.8751490116119385), ('отгадывать', 0.8337394595146179), ('складывать', 0.8313803672790527), ('загадка', 0.8231549859046936), ('чёрт', 0.8147829174995422), ('угадывать', 0.80848628282547), ('головоломка', 0.8060224056243896)]"
вложить,[]
позитив,"[('драйв', 0.8411404490470886), ('заряжать', 0.8388816714286804), ('зарядиться', 0.8266381621360779), ('бодрость', 0.8255208134651184), ('зарядить', 0.8199453949928284), ('веселие', 0.8036314249038696)]"
темп,[]
заболеваемость,"[('коронавирус', 0.8010011315345764)]"
удерживать,[]
повторный,[]
выработка,[]
нейтрализовать,"[('плезиозавр', 0.8401638269424438), ('присесть', 0.8381006717681885), ('предвещать', 0.836175262928009), ('еловый', 0.8326293230056763), ('каменистый', 0.8321582674980164), ('отвесный', 0.830785870552063), ('шина', 0.8300615549087524), ('морковь', 0.8289294242858887), ('наложить', 0.8283169865608215), ('врасплох', 0.8274469971656799)]"
переболеть,"[('ревакцинация', 0.8053004145622253), ('медотвод', 0.8030925393104553)]"
инструкция,[]
полгода,[]
противопоказание,[]
идентичный,[]
аллергический,"[('натрий', 0.9024564623832703), ('печень', 0.8952242136001587), ('желудочный', 0.8809227347373962), ('инвазивный', 0.8803794384002686), ('кристаллизация', 0.87901371717453), ('безветренный', 0.8777008056640625), ('биотический', 0.8768022060394287), ('конденсация', 0.8759105801582336), ('сустав', 0.8756096363067627), ('хлорид', 0.8739110827445984)]"
орви,"[('грипп', 0.931808352470398), ('заражение', 0.8224011659622192), ('вирусный', 0.8219742774963379), ('заболевание', 0.8211035132408142), ('инфекция', 0.8204748630523682), ('хронический', 0.8084568381309509), ('инфицировать', 0.8078204989433289), ('симптом', 0.8044084310531616)]"
выздоровление,[]
обострение,"[('неблагоприятный', 0.8212428689002991), ('эпидемия', 0.8197296261787415), ('респираторный', 0.8160776495933533), ('хронический', 0.8156884908676147), ('вирусный', 0.8061847686767578), ('абиотический', 0.8013002276420593)]"
согласие,[]
законный,[]
чапаев,"[('левый', 0.849513590335846), ('степан', 0.846923828125), ('наледь', 0.8395780920982361), ('разин', 0.833967924118042), ('модулировать', 0.8336541056632996), ('будка', 0.8260970115661621), ('еловый', 0.8234061002731323), ('ограждение', 0.8199405074119568), ('кондиционер', 0.8196820020675659), ('фотодетектор', 0.819459855556488)]"
дпо,[]
участковый,[]
педиатр,[]
тестировать,[]
задействовать,[]
острый,[]
сначала,[]
лидировать,[]
сожаление,[]
общекомандный,[]
полномочный,[]
медиашкола,[]
первокурсница,"[('второкурсница', 0.8941737413406372), ('третьекурсница', 0.8583428859710693), ('четверокурсница', 0.855280876159668), ('третьекурсник', 0.8152149319648743)]"
строиться,[]
трёхдневный,[]
дизайнер,[]
слабый,[]
исправление,[]
недочёт,[]
фирменный,"[('кепка', 0.876349925994873), ('футболка', 0.8561971783638), ('майка', 0.8355216979980469), ('толстовка', 0.8022876977920532)]"
обыденный,[]
выгодно,[]
питьевой,"[('сточный', 0.8685440421104431), ('желудочный', 0.8476241827011108), ('полость', 0.8445471525192261), ('хлорид', 0.8438363671302795), ('анод', 0.8401533365249634), ('биотестирование', 0.8367360234260559), ('вентиляция', 0.8356324434280396), ('печень', 0.834256112575531), ('почка', 0.8285292387008667), ('токсический', 0.8267052173614502)]"
оригинальность,[]
диспут,[]
тысячелетие,[]
издательский,[]
рок,"[('гитарный', 0.8117735981941223), ('солист', 0.8071484565734863), ('хит', 0.8068386316299438), ('ролл', 0.804070770740509), ('джазовый', 0.802151083946228)]"
телеканал,[]
аналитический,[]
неорганический,"[('биоорганический', 0.8165162801742554)]"
съёмка,[]
сувенир,"[('подарок', 0.8455762267112732), ('футболка', 0.8039624691009521)]"
шишка,"[('вышитый', 0.9319206476211548), ('выпускникгода', 0.92864990234375), ('оюзректор', 0.9236963391304016), ('еловый', 0.9222007393836975), ('варение', 0.9169225096702576), ('лучшиевыпускникисаратовскогоуниверситет', 0.9165245294570923), ('клюв', 0.9141331315040588), ('типо', 0.9135075211524963), ('брюки', 0.9109902381896973), ('плащ', 0.9109521508216858)]"
петровский,[]
сосна,"[('травянистый', 0.9111214280128479), ('ель', 0.9084289073944092), ('плезиозавр', 0.9057671427726746), ('вышитый', 0.9045425653457642), ('глухарь', 0.9040755033493042), ('шишка', 0.9038543701171875), ('рябина', 0.9028298854827881), ('останец', 0.9027419090270996), ('отвесный', 0.9026602506637573), ('светло', 0.9012479782104492)]"
забрать,[]
столовая,"[('медпункт', 0.8013796210289001)]"
кухня,"[('блюдо', 0.8557018041610718)]"
сосновый,"[('луг', 0.9105015993118286), ('обрыв', 0.90435391664505), ('склон', 0.9006692171096802), ('родник', 0.8985434174537659), ('урочище', 0.8980987071990967), ('цветущий', 0.8916243314743042), ('солёный', 0.8870445489883423), ('плезиозавр', 0.8849697113037109), ('ель', 0.884391188621521), ('каменистый', 0.8835715055465698)]"
кататься,"[('лыжа', 0.8337494730949402), ('лодка', 0.8262163400650024), ('прыгать', 0.8253623247146606), ('велосипед', 0.8156719207763672), ('катамаран', 0.8036596179008484), ('пить', 0.8017937541007996)]"
лыжа,"[('кататься', 0.833749532699585), ('велосипед', 0.8292304873466492), ('стрельба', 0.8215558528900146), ('катамаран', 0.8125381469726562), ('мешок', 0.8114948272705078), ('бегать', 0.8023784160614014), ('бревно', 0.8005907535552979)]"
баскетбольный,"[('волейбольный', 0.8785829544067383), ('хоккейный', 0.826108992099762), ('воркаут', 0.8210076093673706), ('пляжный', 0.8166468739509583), ('футбольный', 0.8123579621315002), ('баскетбол', 0.8114629983901978)]"
включиться,[]
невозможный,[]
озвучка,"[('колобок', 0.8147391676902771)]"
воспроизводить,[]
вслух,[]
фонетический,[]
пригодиться,[]
устный,[]
критически,[]
комфорт,[]
заверить,[]
шахбокс,"[('кат', 0.8035337328910828)]"
весовой,"[('килограмм', 0.8734380602836609), ('микст', 0.8105797171592712), ('одиночный', 0.8052018880844116)]"
килограмм,"[('весовой', 0.8734380602836609), ('штанга', 0.8188988566398621), ('одиночный', 0.8169924020767212), ('становой', 0.810947835445404), ('микст', 0.8089704513549805)]"
фита,"[('хай', 0.9049649238586426), ('саблисток', 0.9022391438484192), ('парировать', 0.8924390077590942), ('хармонь', 0.8911319971084595), ('регби', 0.8894601464271545), ('рфдокумент', 0.888911783695221), ('цилиндр', 0.8889082074165344), ('рукав', 0.8887994289398193), ('кчс', 0.8852778077125549), ('велогонка', 0.8850222826004028)]"
бесконтактный,"[('идентификация', 0.8193379640579224), ('фильтрация', 0.818508505821228), ('кровоток', 0.8179154992103577)]"
оцениваться,[]
нанести,"[('спирт', 0.8622215390205383), ('мочевой', 0.8524779081344604), ('ускорять', 0.8448323607444763), ('калий', 0.8437824249267578), ('мусорный', 0.8417134881019592), ('альбедо', 0.8410888314247131), ('реактивный', 0.8404850959777832), ('опухолевый', 0.8393343687057495), ('цок', 0.8380066156387329), ('борофен', 0.8373362421989441)]"
мешок,"[('волос', 0.8856490850448608), ('велосипед', 0.8708494901657104), ('бревно', 0.8691539168357849), ('верёвка', 0.8687708973884583), ('ледяной', 0.8590668439865112), ('рюкзак', 0.8564149737358093), ('шарик', 0.8543691039085388), ('сок', 0.8513665199279785), ('прыгать', 0.8466715812683105), ('яйцо', 0.8359349966049194)]"
кмс,[]
выиграть,[]
чемпионка,"[('чемпион', 0.887502133846283), ('двукратный', 0.8024116158485413)]"
бокс,"[('шахматы', 0.8841977119445801), ('бадминтон', 0.8754022121429443), ('пауэрлифтинг', 0.8640543818473816), ('плавание', 0.8542625308036804), ('самбо', 0.8513632416725159), ('каноэ', 0.8457528948783875), ('кикбоксинг', 0.8454527854919434), ('биатлон', 0.8386809825897217), ('триатлоно', 0.8383417725563049), ('теннис', 0.8354864716529846)]"
ринг,"[('брейн', 0.9206482768058777)]"
спортсменка,"[('бадминтонист', 0.8013671040534973)]"
двукратный,"[('трёхкратный', 0.8921611309051514), ('многократный', 0.8352089524269104), ('кикбоксинг', 0.833955705165863), ('европа', 0.8077812194824219), ('пауэрлифтинг', 0.8066937327384949), ('чемпионка', 0.8024116158485413), ('каноэ', 0.8017938733100891)]"
представительница,[]
поединок,[]
папа,[]
увлечься,[]
ментальный,[]
паттерн,[]
соперничество,[]
тон,[]
позвать,[]
поручить,[]
буквально,[]
спорить,[]
умудрить,[]
спор,[]
ритм,"[('нежный', 0.830223560333252), ('отбивать', 0.8165276050567627), ('буг', 0.8112064003944397), ('ритмичный', 0.8019416928291321)]"
вокалистка,"[('буг', 0.8274155855178833), ('вуги', 0.8257479667663574), ('битбокс', 0.8251261115074158), ('лиричный', 0.8186469078063965), ('фолкнуть', 0.8131880760192871), ('зажигательный', 0.8073585033416748), ('задорный', 0.8061112761497498), ('солистка', 0.8059293031692505), ('трио', 0.805059015750885)]"
сочетание,[]
битбокс,"[('аккордеон', 0.9345419406890869), ('ария', 0.9096527695655823), ('ритмичный', 0.9038200378417969), ('вуги', 0.897869348526001), ('буг', 0.8937864899635315), ('акапельный', 0.8911558985710144), ('укулела', 0.8896207809448242), ('экстравагантный', 0.8889992237091064), ('контемпорарь', 0.8852400779724121), ('улетать', 0.8849989175796509)]"
скрипка,"[('флейта', 0.9221304059028625), ('гитара', 0.8950241208076477), ('укулела', 0.8886387944221497), ('аккордеон', 0.8840541839599609), ('барабан', 0.8816743493080139), ('ария', 0.8742206692695618), ('саксофон', 0.8732622861862183), ('бас', 0.8710025548934937), ('рубашка', 0.8690186738967896), ('рояль', 0.8683430552482605)]"
обнаруживаться,[]
совпадение,[]
очевидный,[]
грань,[]
перелистывать,[]
разгар,[]
оживление,[]
услышать,[]
смех,"[('громко', 0.8557272553443909), ('крик', 0.8417516946792603), ('смеяться', 0.8400881290435791), ('буря', 0.8110496997833252), ('возглас', 0.8097861409187317), ('шквал', 0.8066563010215759), ('веселие', 0.8054351210594177), ('восторженный', 0.8023666143417358)]"
репетиция,[]
задолго,[]
соскучиться,[]
угодный,[]
наладить,[]
дистанционка,"[('минобрнауки', 0.8756470084190369), ('безуспешно', 0.8609861731529236), ('рапиристка', 0.8577269315719604), ('рфдокумент', 0.8575420379638672), ('терпугов', 0.8567116260528564), ('кчс', 0.8532785773277283), ('кручение', 0.8499403595924377), ('макс', 0.8472781181335449), ('мыпомнить', 0.845820963382721), ('штуф', 0.845052182674408)]"
упустить,[]
одобрение,[]
настать,[]
волнующий,[]
заслуженно,[]
виа,"[('перебор', 0.9163088202476501), ('румб', 0.915553629398346), ('антилопа', 0.9138954281806946), ('барыня', 0.9116792678833008), ('терпугов', 0.9077614545822144), ('всенощный', 0.9061527848243713), ('плащ', 0.9057462215423584), ('сыр', 0.9019808769226074), ('вольт', 0.8985929489135742), ('гжель', 0.8975736498832703)]"
украсить,"[('украшать', 0.8772138953208923)]"
мода,"[('авангардный', 0.80589359998703)]"
пантомима,"[('клоунада', 0.8637965321540833), ('акробатический', 0.859675407409668), ('зажигательный', 0.8356136083602905), ('цирковой', 0.8335962295532227), ('хоп', 0.831819474697113), ('джаз', 0.8289983868598938), ('мюзикл', 0.8210127949714661), ('пластика', 0.812690019607544), ('хип', 0.8095214366912842), ('юмористический', 0.8065155744552612)]"
зеркало,[]
тудвесна,[]
величина,"[('атом', 0.8325985074043274), ('углеводород', 0.829574465751648), ('коэффициент', 0.8272791504859924), ('мощность', 0.822670042514801), ('слой', 0.8136147856712341), ('удельный', 0.8135107755661011), ('плотность', 0.8112544417381287), ('толщина', 0.8106093406677246), ('нанометр', 0.8072457909584045), ('чувствительность', 0.8066002130508423)]"
крыться,"[('бесконечно', 0.8248125910758972), ('огорчение', 0.8067006468772888), ('соблазн', 0.8038885593414307)]"
обнять,"[('высмеивать', 0.8466482162475586), ('убегать', 0.8431702256202698), ('убить', 0.8423842191696167), ('опомниться', 0.8360384106636047), ('порою', 0.8353101015090942), ('морковь', 0.8350018262863159), ('произноситься', 0.8348154425621033), ('бродяга', 0.8280622959136963), ('лучик', 0.8213829398155212), ('посмеяться', 0.8192921876907349)]"
казаться,"[('словно', 0.8213537931442261), ('заставлять', 0.8192469477653503), ('выглядеть', 0.8177121877670288), ('получаться', 0.8088471293449402)]"
фееричный,"[('гимнаст', 0.8335385322570801), ('сель', 0.803769052028656), ('улыбчивый', 0.803204357624054)]"
хором,"[('спеть', 0.8120486736297607), ('гитара', 0.8088002800941467), ('петь', 0.8083326816558838), ('кружиться', 0.8059015870094299), ('рояль', 0.8023571372032166), ('водить', 0.8020083904266357)]"
преддипломный,[]
проинформировать,"[('ознакомить', 0.8134933710098267)]"
самоконтроль,[]
базовый,[]
душевный,"[('доброта', 0.8165692687034607)]"
вылечить,"[('опухолевый', 0.800937831401825)]"
беречь,"[('ради', 0.8367452025413513), ('заботиться', 0.8009781241416931)]"
прочность,[]
вес,"[('подтягивание', 0.8215926885604858), ('перекладина', 0.8162562251091003)]"
вычисление,"[('высокопроизводительный', 0.8711643218994141), ('визуализация', 0.8111687898635864), ('распределённый', 0.8085546493530273)]"
грамм,"[('присесть', 0.8939694762229919), ('натрий', 0.8915339112281799), ('цитостатический', 0.8887705206871033), ('нанопора', 0.8871128559112549), ('цилиндр', 0.8865090012550354), ('вычислять', 0.8858229517936707), ('рубик', 0.8834856748580933), ('дротик', 0.8801284432411194), ('межстрочный', 0.8781619071960449), ('плащ', 0.8779736161231995)]"
сантиметр,"[('градус', 0.8734207153320312), ('позвонок', 0.8676852583885193), ('отвесный', 0.8663957715034485), ('грамм', 0.8662401437759399), ('каменистый', 0.8583455085754395), ('переправа', 0.8551980257034302), ('радиус', 0.8513928055763245), ('надувной', 0.8510544300079346), ('диаметр', 0.8505993485450745), ('шея', 0.8481804728507996)]"
высчитывать,"[('вшить', 0.8302986025810242), ('присесть', 0.8221371173858643), ('грамм', 0.8216773867607117), ('выбегать', 0.821614682674408), ('рукав', 0.8191817402839661), ('рфдокумент', 0.8157002925872803), ('парировать', 0.8140180706977844), ('сложённый', 0.8133573532104492), ('гнездовый', 0.8094363808631897), ('дозировка', 0.808783769607544)]"
зож,[]
уменьшение,"[('снижение', 0.8575027585029602)]"
портить,"[('вальсировать', 0.8024632334709167)]"
прослушивание,[]
аудиоматериал,[]
наушник,"[('щука', 0.839026927947998), ('укулела', 0.8255001306533813), ('жонглёр', 0.8227574825286865), ('юбка', 0.8224500417709351), ('ведьма', 0.8209963440895081), ('русалка', 0.8202829360961914), ('кубик', 0.8173020482063293), ('мелодичный', 0.8107978105545044), ('фламинго', 0.8067246675491333), ('буратино', 0.8063014149665833)]"
врождённый,[]
отклонение,[]
